para,onoff,Ndistribution,Nrepeat,timeMax,triggerPeriod,Spontaneous,LCC,NoCluster,numberNodes,single,data,clusterDistance,distance,Cas0,Ca0,CSQ
rate_22,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_24,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_26,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_28,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_30,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_32,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_34,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
rate_36,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
NSR_06,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,600.,0.1,400.
NSR_07,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,700.,0.1,400.
NSR_08,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,800.,0.1,400.
NSR_09,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,900.,0.1,400.
NSR_10,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.1,400.
NSR_11,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1100.,0.1,400.
NSR_12,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1200.,0.1,400.
NSR_13,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1300.,0.1,400.
NSR_14,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1400.,0.1,400.
myo_00,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,0.,400.
myo_02,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,20,400.
myo_03,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,30,400.
myo_04,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,40,400.
myo_05,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,50,400.
myo_06,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,60,400.
myo_08,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,80,400.
myo_09,1,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,90,400.
myo_10,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,100,400.
myo_12,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,120,400.
myo_14,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,140,400.
myo_16,0,1000,10,0.06,0.3,1,0,1,50,true,false,2000,40,1000.,160,400.
